Data Data AmazonEcho BelkinMotion BlipcareBP BabyMonitor Laptop LIFXlighbulb Netatmo SleepSensor TribySpeaker
16-09-23.pcap	0	112.89	108.70	105.12	79.24	151.99	0.00	543.82	0.00	105.50
16-09-24.pcap	1	86.87	99.33	0.00	78.40	0.00	0.00	96.75	0.00	104.19
16-09-25.pcap	2	113.88	99.03	0.00	78.12	0.00	0.00	69.21	0.00	103.99
16-09-26.pcap	3	113.87	98.88	0.00	78.88	0.00	0.00	523.02	0.00	107.12
16-09-27.pcap	4	113.46	103.84	0.00	79.20	0.00	0.00	343.15	0.00	104.01
16-09-28.pcap	5	141.18	238.18	105.48	80.25	0.00	99.33	927.50	143.46	132.52
16-09-29.pcap	6	113.95	130.31	0.00	78.89	0.00	95.94	810.83	142.52	99.18
16-09-30.pcap	7	121.78	136.48	0.00	79.64	0.00	96.24	480.00	142.30	103.90
16-10-01.pcap	8	161.18	98.17	0.00	80.11	0.00	96.03	624.04	142.05	98.13
16-10-02.pcap	9	113.95	98.32	0.00	79.51	0.00	97.41	123.03	142.00	98.22
16-10-03.pcap	10	114.08	99.02	0.00	79.92	0.00	95.71	286.21	142.14	98.62
16-10-04.pcap	11	118.93	107.23	106.72	80.20	0.00	96.58	640.60	142.72	97.85
16-10-05.pcap	12	145.69	129.84	0.00	80.42	281.98	97.34	757.84	142.26	111.40
16-10-06.pcap	13	118.28	99.08	0.00	79.58	0.00	96.33	187.97	102.48	106.33
16-10-07.pcap	14	117.94	113.06	0.00	79.80	171.64	96.08	70.44	142.34	104.48
16-10-08.pcap	15	114.01	97.83	0.00	0.00	0.00	95.66	68.93	142.47	102.72
16-10-09.pcap	16	114.30	97.92	0.00	0.00	0.00	96.30	68.90	143.17	104.98
16-10-10.pcap	17	114.17	97.90	0.00	0.00	0.00	96.22	68.76	142.19	100.33
16-10-11.pcap	18	114.38	105.27	0.00	0.00	157.53	96.15	69.70	141.80	98.77
16-10-12.pcap	19	113.70	100.08	0.00	0.00	61.23	96.03	70.78	141.68	98.00
