amazonEcho	belkinMotion	blipcareBP	BabyMonitor	laptop	LIFXlighbulb	Netatmo	sleepSensor	tribySpeaker
201	118	0	66	0	0	98	0	70
191	118		66			98		66
95	118		60			43		66
54	143		66			98		42
201	143		66			42		42
90	74		60			174		66
42	66		66			43		42
191	252		66			43		75
54	66		66			42		785
95	66		66			86		66
201	74		66			86		66
191	66		66			43		66
95	252		60			42		42
54	66		66			43		70
201	66		66			43		66
42	42		60			42		66
191	86		66			174		42
54	86		66			42		66
95	86		66			43		42
201	118		66			43		70
90	118		60			42		66
191	118		66			98		42
201	42		66			98		785
95	214		66			98		66
95	66		66			42		42
54	42		60			86		66
42	118		66			86		66
191	118		66			43		42
201	118		60			43		70
54	42		66			43		66
95	42		66			42		42
191	86		66			174		113
201	86		66			42		66
95	143		66			43		42
191	143		66			43		70
54	74		60			42		66
42	74		66			42		42
201	74		66			43		66
54	66		60			86		42
163	66		66			86		75
163	252		66			43		785
148	252		66			42		66
148	66		66			42		66
211	252		60			43		66
54	66		66			98		42
97	66		66			98		70
66	66		66			98		66
75	66		66			43		42
74	66		60			42		66
66	74		66			174		42
97	66		66			174		70
583	66		66			43		66
66	252		66			42		42
66	66		60			42		785
66	66		66			43		66
66	118		66			86		42
192	118		66			43		66
158	118		66			86		66
191	42		60			42		42
201	46		66			42		70
66	118		66			43		66
97	118		66			43		66
335	118		66			42		42
54	42		60			42		113
95	86		66			174		66
97	86		66			43		42
97	86		66			43		70
201	143		66			42		66
97	143		60			98		42
191	74		66			98		42
95	74		66			98		66
54	66		66			113		75
42	66		66			42		785
97	252		60			43		66
201	66		66			86		42
191	252		66			86		66
98	66		66			43		66
98	66		66			43		42
98	66		60			42		70
98	66		66			43		66
98	118		66			42		42
98	118		66			174		66
98	118		66			43		42
98	42		66			42		70
98	214		66			43		66
98	66		60			42		42
98	42		66			43		75
98	46		66			86		785
98	118		60			86		66
98	118		66			43		42
98	118		66			42		66
98	86		66			43		66
98	118		66			98		42
98	118		66			98		70
98	118		66			98		66
98	42		60			42		66
75	42		66			43		42
75	143		66			174		113
74	143		60			174		66
66	74		66			42		42
66	74		66			43		70
75	66		66			42		66
75	252		66			43		66
74	66		66			42		42
66	66		66			43		785
66	66		60			86		66
66	74		66			86		42
75	66		66			43		66
75	252		60			42		66
74	66		66			43		42
66	66		66			174		70
66	66		66			42		66
66	113		66			43		66
66	118		66			43		42
54	118		66			42		66
95	118		60			98		42
201	42		66			98		70
191	86		66			98		66
97	86		60			42		42
