Data Data AmazonEcho BelkinMotion BlipcareBP BabyMonitor Laptop LIFXlighbulb Netatmo SleepSensor TribySpeaker
16-09-23.pcap	0	8067	44913	33	23961	97202	0	21228	0	5000
16-09-24.pcap	1	113022	40563	0	23332	0	0	12600	0	5162
16-09-25.pcap	2	31021	40935	0	23490	0	0	12414	0	5000
16-09-26.pcap	3	31069	34414	0	23794	0	0	20659	0	5111
16-09-27.pcap	4	31162	16296	0	24040	0	0	16333	0	4974
16-09-28.pcap	5	39493	32825	66	24202	0	3873	43113	12576	6898
16-09-29.pcap	6	31237	41266	0	23742	0	6429	30371	21404	5757
16-09-30.pcap	7	32340	41928	0	24149	0	6346	18712	21563	6106
16-10-01.pcap	8	32561	39122	0	24386	0	6094	26253	21759	5914
16-10-02.pcap	9	30176	38995	0	23103	0	6154	12375	20756	5600
16-10-03.pcap	10	31246	39252	0	24288	0	6108	15651	21947	5767
16-10-04.pcap	11	31338	38253	32	24170	0	6211	25351	12976	5805
16-10-05.pcap	12	32444	45258	0	24545	237156	6428	32626	12643	6478
16-10-06.pcap	13	31266	36766	0	24218	0	6151	13726	23396	5326
16-10-07.pcap	14	31521	39636	0	15298	111120	6140	12344	12490	5929
16-10-08.pcap	15	31318	36395	0	0	0	6010	12109	12692	5964
16-10-09.pcap	16	31170	36335	0	0	0	6082	11993	12510	5703
16-10-10.pcap	17	31514	36534	0	0	0	6145	11963	12802	5723
16-10-11.pcap	18	31248	43173	0	0	497586	6124	12620	12652	5866
16-10-12.pcap	19	18748	26208	0	0	1036231	3658	7384	7437	3431
