amazonEcho	belkinMotion	blipcareBP	BabyMonitor	laptop	LIFXlighbulb	Netatmo	sleepSensor	tribySpeaker
191	42	0	0	0	72	43	225	66
201	143				72	98	66	42
90	143				90	98	225	70
42	74				42	98	66	66
95	74				123	42	42	42
95	66				123	174	225	66
54	66				42	43	66	66
191	252				123	42	225	66
201	249				42	43	66	885
98	66				123	42	42	66
98	66				123	43	225	42
98	66				42	90	66	66
98	66				123	42	225	42
98	66				42	43	66	70
98	66				72	42	225	66
98	74				72	43	66	42
98	66				90	86	42	66
98	249				42	86	225	66
98	66				123	42	66	42
98	66				123	174	225	70
98	66				123	43	66	66
98	66				42	42	225	42
98	74				123	42	66	66
98	74				42	43	42	66
98	74				123	98	225	66
98	66				42	98	66	75
98	66				113	98	80	885
98	252				123	43	74	66
98	249				142	42	66	66
75	66				187	43	249	42
75	249				130	42	66	70
74	66				171	43	66	66
66	66				42	42	80	42
66	66				80	174	74	66
75	66				123	42	66	113
75	66				92	174	66	113
74	66				139	86	355	113
66	66				92	86	66	66
66	66				139	43	66	42
66	66				54	43	66	70
75	66				82	42	225	66
75	118				123	42	66	42
74	118				72	43	225	66
66	118				72	43	66	66
66	42				90	42	42	66
66	46				42	42	225	75
66	118				123	43	66	75
42	118				123	98	80	885
54	118				42	98	74	66
95	42				123	98	66	42
191	86				42	86	288	42
201	86				123	43	66	42
95	86				42	174	66	42
54	74				130	42	66	66
90	89				171	86	225	42
191	42				42	43	66	70
201	143				123	42	42	66
54	143				42	43	225	42
95	74				72	349	66	66
191	74				72	42	225	66
201	74				90	42	66	42
42	74				42	42	225	70
90	66				123	43	66	66
42	66				123	42	42	42
191	66				123	43	225	66
201	66				123	42	66	66
95	249				42	43	225	66
54	252				123	43	66	885
191	252				123	86	225	66
201	249				42	42	66	42
42	66				123	86	42	66
54	66				42	42	225	42
95	66				113	174	66	70
42	66				123	43	225	66
42	66				42	42	66	42
90	66				72	42	225	66
191	66				72	98	66	113
201	66				90	98	42	113
42	66				42	43	225	113
95	66				123	98	66	66
54	66				142	42	225	42
191	66				187	113	66	70
201	74				130	43	225	66
95	66				171	43	66	42
54	74				80	43	42	66
95	249				123	42	113	66
54	66				92	42	225	66
90	66				139	174	66	75
42	66				92	86	225	885
191	66				139	86	66	66
201	249				54	43	225	42
42	66				82	43	66	66
95	66				123	42	42	42
54	66				123	42	225	70
191	66				42	43	66	66
201	66				123	43	225	42
54	46				42	43	66	66
95	118				123	42	225	66
42	118				42	98	66	42
191	118				123	42	42	70
201	42				123	98	225	66
42	86				42	98	66	42
95	86				72	174	225	66
54	86				72	86	66	66
191	214				90	86	225	66
201	66				42	43	66	885
90	42				123	42	42	66
42	118				123	43	225	42
98	118				123	42	66	42
98	118				42	42	225	42
98	42				123	43	66	66
98	46				123	42	42	42
98	143				42	43	225	70
98	143				123	43	66	66
98	42				42	42	225	42
98	74				113	42	66	66
98	74				123	43	42	113
98	74				42	174	225	113
98	74				72	86	66	113
98	66				72	86	225	66
98	66				90	42	66	42
98	249				42	43	42	70
98	252				123	42	225	66
98	66				123	98	66	42
98	66				123	98	225	66
91	252				54	98	66	66
98	249				142	42	42	66
98	74				130	43	225	75
98	66				283	43	66	885
75	66				42	42	225	66
75	66				80	42	66	42
74	66				123	43	42	66
54	66				92	43	225	42
88	66				139	42	66	42
66	66				92	42	225	70
66	66				139	174	66	66
75	66				54	174	42	42
75	66				82	86	225	66
74	66				123	86	66	66
74	66				123	43	225	42
66	249				42	42	66	70
66	66				123	42	42	66
66	66				42	43	225	42
75	66				123	43	66	66
75	66				42	42	225	66
74	66				72	42	66	66
54	66				72	43	42	885
66	74				90	98	225	66
66	66				42	98	66	42
66	249				123	98	225	66
571	66				123	174	66	42
66	66				42	42	42	70
54	66				123	43	225	66
54	66				123	86	66	42
54	118				42	86	225	66
380	118				123	43	66	113
54	118				123	42	42	66
1514	42				42	42	225	42
396	86				113	43	66	70
368	86				123	113	113	66
54	86				42	43	225	42
54	118				72	42	66	66
54	118				72	43	42	66
54	118				90	42	80	66
95	42				42	43	74	75
191	46				123	174	66	885
201	118				123	42	249	66
95	118				42	43	66	42
54	118				123	42	66	66
191	42				54	86	80	42
201	86				142	43	74	70
42	86				130	86	66	66
90	86				283	42	66	42
191	143				42	98	350	66
201	143				80	98	66	66
42	74				123	98	66	42
54	74				92	43	80	70
95	74				139	90	74	66
191	74				92	43	66	42
201	66				139	42	66	66
42	249				54	43	348	66
95	66				82	42	66	66
54	66				123	174	66	75
42	66				123	174	66	75
191	249				42	43	225	885
201	252				123	42	66	66
42	252				42	43	225	42
54	66				72	86	66	42
95	66				72	42	42	42
