amazonEcho	belkinMotion	blipcareBP	BabyMonitor	laptop	LIFXlighbulb	Netatmo	sleepSensor	tribySpeaker
201	118	0	66	20	123	98	225	70
42	118		66	135	42	98	66	66
191	118		66	113	123	98	42	42
95	42		60	344	42	174	225	785
54	118		66	148	123	43	66	66
42	118		66	179	142	42	225	42
201	118		66	181	187	43	66	66
42	42		66	130	130	42	42	66
191	86		66	571	171	43	225	66
54	86		66	569	42	42	66	42
95	143		60	148	80	43	225	42
90	143		66	505	123	42	66	42
201	74		66	86	92	43	42	70
42	74		60	190	139	90	225	66
191	66		66	90	92	42	66	42
42	66		66	90	139	86	225	66
95	252		66	86	54	86	66	66
54	252		66	86	82	43	42	42
201	66		66	86	123	42	225	42
191	66		66	90	72	174	66	70
98	66		60	109	72	43	225	66
98	66		66	88	90	42	66	42
98	74		66	88	123	43	42	66
98	66		60	88	42	42	225	75
98	74		66	88	123	98	66	785
98	252		66	109	42	98	225	66
98	66		66	90	123	98	66	42
98	66		66	90	42	42	42	66
98	74		60	86	123	43	225	66
98	249		66	514	42	43	66	66
98	66		66	1054	123	42	225	42
98	66		66	86	42	43	66	42
98	249		66	78	72	42	42	42
98	74		66	110	72	86	225	70
98	66		66	1054	90	86	66	42
98	66		60	90	123	174	225	66
98	66		66	90	123	42	66	113
98	66		66	86	42	43	42	113
98	66		60	86	113	43	225	113
98	66		66	90	123	42	66	66
75	66		66	90	42	43	225	42
75	66		66	90	123	42	66	70
74	252		66	86	123	43	42	66
66	66		66	86	42	42	225	66
66	66		66	90	123	43	66	42
75	74		60	86	42	42	225	785
75	66		66	86	123	98	66	66
74	66		66	90	42	98	42	66
66	249		60	86	72	98	225	66
66	74		66	109	72	43	66	42
66	66		66	109	90	86	225	42
75	249		79	557	123	86	66	66
75	66		74	585	123	174	42	70
74	66		66	571	54	42	225	42
66	66		265	179	142	174	66	66
66	66		66	181	130	42	225	66
66	66		1514	88	283	43	66	42
66	66		256	569	42	42	225	70
42	66		66	84	80	43	66	66
54	66		66	84	123	42	42	42
95	74		66	505	92	43	225	66
201	89		66	70	139	42	66	75
90	42		60	90	92	43	225	785
191	46		66	90	139	43	66	66
95	118		66	342	54	174	225	42
54	118		66	90	82	42	66	66
42	118		66	90	123	86	42	66
201	42		66	90	123	86	113	66
191	86		66	86	42	43	225	42
90	86		60	1054	123	42	66	70
90	86		66	86	123	43	225	42
54	214		66	1054	42	78	66	66
95	66		60	514	123	42	225	113
42	42		66	78	42	98	66	113
201	74		66	78	123	98	42	113
191	42		66	110	123	98	225	113
95	66		66	90	42	113	66	66
54	262		60	86	72	43	225	42
201	66		66	86	72	43	66	70
42	66		66	86	90	42	225	66
191	74		66	86	123	43	66	42
90	66		66	86	42	42	42	66
201	264		66	557	113	43	225	785
54	66		66	585	123	174	66	66
95	66		60	98	42	42	225	42
42	66		66	98	123	86	66	66
191	143		66	571	42	86	225	66
201	143		60	109	123	43	66	66
95	74		66	109	42	43	42	42
54	74		66	1054	123	42	225	42
191	66		66	569	42	43	66	70
42	74		66	585	72	42	225	66
201	74		66	1054	72	43	66	42
90	66		66	179	90	42	42	66
191	252		60	181	123	43	225	66
54	66		66	42	123	98	66	42
95	66		66	571	42	98	225	70
42	249		60	350	123	98	66	66
201	252		66	54	123	43	42	42
191	252		66	90	54	174	225	66
95	66		66	42	142	42	66	42
54	66		66	569	130	86	225	75
42	66		60	110	283	86	66	785
221	66		66	110	42	43	42	66
201	66		66	110	80	42	225	42
191	66		66	54	123	43	66	66
88	66		66	1035	92	42	225	66
74	66		66	42	139	43	66	66
54	66		66	1055	92	42	42	42
571	66		60	90	139	43	225	42
54	74		66	88	54	42	66	42
54	66		66	54	82	43	225	70
54	218		60	88	123	42	66	42
380	74		66	90	123	43	42	66
54	66		66	54	42	174	225	113
1514	252		66	90	130	42	66	113
396	66		66	54	171	86	225	113
368	66		66	88	42	86	66	113
54	66		66	88	123	43	42	66
54	66		66	109	123	42	225	42
54	66		66	88	123	43	66	70
54	74		60	88	42	98	225	66
95	74		66	88	72	98	66	42
42	66		66	88	72	98	42	66
201	66		60	86	90	42	225	75
191	66		66	66	123	43	66	75
90	66		66	109	42	43	225	785
42	259		66	80	113	42	66	66
95	259		66	86	123	43	42	42
54	74		66	66	42	42	225	42
201	74		66	557	123	43	66	42
191	66		66	585	42	174	225	66
98	66		66	42	123	42	66	66
